bill,sponsors
HB44,J. Blanton
HB44,R. Bunch
HB45,D. Elliott
HB46,J. Fischer
HB46,R. Bunch
HB46,M. Hart
HB46,K. King
HB46,D. Mayfield
HB46,C. Morgan
HB46,J. York
HB47,D. Keene
HB47,R. Bunch
HB47,D. Horlander
HB47,C. Miller
HB48,K. Imes
HB49,K. Imes
HB49,M. Hart
HB49,J. Nemes
HB50,K. Imes
HB50,S. Wells
HB50,A. Wuchner
HB51,M. Dossett
HB51,D. Hale
HB52,R. Meyer
HB52,D. Keene
HB52,M. Cantrell
HB52,J. Donohue
HB52,A. Gentry
HB52,D. Horlander
HB52,J. Jenkins
HB53,C. Harris
HB53,J. Tipton
HB53,S. Westrom
HB54,M. Dossett
HB55,M. Dossett
HB56,K. Imes
HB56,C. Morgan
HB56,S. Westrom
HB57,K. Imes
HB58,S. Lee
HB58,L. Brown
HB58,T. Couch
HB58,C. Morgan
HB59,J. Kay
HB60,M. Meredith
HB60,J. Blanton
HB60,K. Bratcher
HB60,R. Bunch
HB60,C. Fugate
HB60,D. Hale
HB60,M. Hart
HB60,D. Horlander
HB60,C. McCoy
HB60,C. Morgan
HB60,R. Nelson
HB60,R. Palumbo
HB60,P. Pratt
HB60,B. Reed
HB60,S. Riley
HB60,S. Santoro
HB60,W. Stone
HB60,J. Tipton
HB60,R. Webber
HB60,A. Wuchner
HB60,J. York
HB61,J. Blanton
HB61,M. Castlen
HB61,M. Hart
HB62,D. Schamore
HB62,R. Bunch
HB62,M. Cantrell
HB62,D. Elliott
HB62,A. Gentry
HB62,R. Palumbo
HB62,W. Stone
HB62,S. Westrom
HB63,J. Jenkins
HB63,A. Wuchner
HB64,J. Donohue
HB65,A. Wuchner
HB65,M. Rader
HB65,K. Bratcher
HB65,R. Bunch
HB65,J. DuPlessis
HB65,M. Hart
HB65,S. Miles
HB66,M. Marzian
HB67,J. Tipton
HB67,R. Benevenuti III
HB67,R. Heath
HB67,R. Palumbo
HB67,D. St. Onge
HB67,S. Westrom
HB68,G. Watkins
HB68,J. Richards
HB68,S. Westrom
HB69,S. Wells
HB70,G. Watkins
HB71,D. Keene
HB71,D. Horlander
HB72,J. Miller
HB72,R. Mills
HB72,S. Santoro
HB73,A. Simpson
HB73,J. Richards
HB74,D. Mayfield
HB74,M. Hart
HB74,S. Santoro
HB74,S. Westrom
HB75,M. Dossett
HB76,A. Scott
HB76,S. Westrom
HB77,J. DuPlessis
HB78,J. DuPlessis
HB78,L. Brown
HB78,R. Bunch
HB78,J. Greer
HB78,M. Prunty
HB78,J. Tipton
HB79,T. Burch
HB79,C. Harris
HB79,R. Palumbo
HB80,G. Watkins
HB80,C. Morgan
HB81,K. Imes
HB82,K. Imes
HB83,D. Elliott
HB83,J. Jenkins
HB83,D. Johnson
HB83,R. Palumbo
HB84,R. Meeks
HB84,S. Westrom
HB85,J. Miller
HB86,D. Owens
HB86,J. Jenkins
HB87,S. Riggs
HB88,J. Fischer
HB89,D. Owens
HB90,G. Watkins
HB90,J. Richards
HB91,R. Meeks
HB92,D. Owens
HB93,D. St. Onge
HB93,S. Santoro
HB93,R. Benvenuti III
HB94,D. Schamore
HB95,D. Elliott
HB95,A. Simpson
HB96,J. Fischer
HB97,R. Nelson
HB98,T. Burch
HB99,T. Burch
HB100,C. McCoy
HB100,J. Kay
HB100,A. Koenig
HB100,K. Moser
HB100,J. Nemes
HB100,D. Osborne
HB100,S. Santoro
HB100,D. St. Onge
HB100,S. Westrom
HB100,A. Wuchner
HB101,D. Owens
HB101,J. Wayne
HB101,T. Burch
HB101,J. Jenkins
HB101,R. Meeks
HB101,A. Scott
HB102,D. Owens
HB103,P. Moffett
HB103,C. Morgan
HB103,S. Wells
HB104,R. Nelson
HB104,S. Westrom
HB105,R. Nelson
NA,NA
HB106,R. Nelson
HB107,J. Fischer
HB107,S. Santoro
HB108,S. Lee
HB108,R. Bunch
HB108,K. King
HB108,D. Mayfield
HB108,C. Morgan
HB109,A. Koenig
HB110,J. Wayne
HB111,S. Lee
HB112,S. Lee
HB112,K. King
HB112,C. Morgan
HB112,B. Rowland
HB112,D. St. Onge
HB112,S. Westrom
HB113,J. Richards
HB113,S. Riggs
HB113,R. Benvenuti III
HB113,M. Hart
HB113,C. Miller
HB113,P. Pratt
HB113,M. Prunty
HB114,J. Richards
HB115,J. Richards
HB116,J. Richards
HB117,J. Richards
HB118,J. Richards
HB119,S. Santoro
HB119,M. Castlen
HB119,R. Benvenuti III
HB119,D. Hale
HB119,S. Riggs
HB119,S. Santoro
HB120,B. Linder
HB120,R. Bunch
HB120,J. Carney
HB120,T. Couch
HB120,J. Fischer
HB120,D. Hale
HB120,M. Hart
HB120,K. Imes
HB120,K. King
HB120,S. Lee
HB120,D. Mayfield
HB120,M. Meredith
HB120,S. Miles
HB120,C. Morgan
HB120,P. Pratt
HB120,B. Reed
HB120,B. Rowland
HB120,S. Santoro
HB120,A. Wuchner
HB121,J. Miller
HB122,R. Bunch
HB122,J. Jenkins
HB122,C. Miller
HB122,R. Palumbo
HB122,M. Prunty
HB122,B. Reed
HB122,J. Richards
HB122,D. Schamore
HB123,L. Bechler
HB123,R. Bunch
HB123,J. Petrie
HB124,B. Rowland
HB125,T. Couch
HB126,C. Morgan
HB126,P. Moffett
HB127,C. Morgan
HB127,P. Moffett
HB128,DJ Johnson
HB128,D. Bentley
HB128,J. Blanton
HB128,L. Brown
HB128,C. Fugate
HB128,D. Hale
HB128,M. Hart
HB128,R. Heath
HB128,D. Johnson
HB128,T. Moore
HB128,C. Morgan
HB128,S. Santoro
HB129,A. Wuchner
HB129,S. Lee
HB129,R. Bunch
HB129,R. Meyer
HB129,C. Morgan
HB129,R. Palumbo
HB129,M. Prunty
HB130,S. Santoro
HB130,A. Koenig
HB130,C. McCoy
HB130,C. Morgan
HB131,D. Johnson
HB131,T. Couch
HB131,C. Morgan
HB132,C. Morgan
HB133,C. Morgan
HB134,C. Morgan
HB135,C. Morgan
HB135,J. DuPlessis
HB135,M. Hart
HB135,J. Jenkins
HB135,D. Mayfield
HB135,R. Palumbo
HB136,C. Morgan
HB137,D. Keene
HB137,D. Horlander
HB138,D. Keene
HB138,D. Horlander
HB138,C. Miller
HB138,J. Richards
HB139,J. Blanton
HB139,D. Bentley
HB139,D. Hale
HB140,J. Blanton
HB140,D. Bentley
HB140,D. Hale
HB141,R. Nelson
HB142,A. Koenig
HB142,C. Morgan
HB143,C. Morgan
HB143,M. Hart
HB144,S. Santoro
HB144,D. Hale
HB145,J. Tipton
HB145,D. Bentley
HB145,M. Hart
HB145,R. Meeks
HB145,C. Morgan
HB145,R. Rothenburger
HB145,A. Simpson
HB145,R. Webber
HB146,NA
HB147,A. Wuchner
HB147,D. Bentley
HB148,R. Webber
HB148,A. Scott
HB148,J. Wayne
HB149,S. Lee
HB149,J. Blanton
HB149,D. Hale
HB149,M. Hart
HB149,K. King
HB149,C. Morgan
HB149,B. Reed
HB150,S. Riggs
HB151,K. Bratcher
HB151,A. Wuchner
HB152,B. Linder
HB152,M. Dossett
HB152,L. Bechler
HB152,T. Herald
HB152,W. Thomas
HB153,M. Meredith
HB153,J. Greer
HB153,B. Rowland
HB154,C. Morgan
HB155,C. Morgan
HB156,C. Fugate
HB156,L. Brown
HB156,D. Bentley
HB156,J. Blanton
HB156,J. Greer
HB156,D. Hale
HB156,C. Harris
HB156,A. Hatton
HB156,T. Herald
HB156,K. Imes
HB156,D. Johnson
HB156,K. King
HB156,R. Mills
HB156,K. Moser
HB156,R. Palumbo
HB156,M. Prunty
HB156,S. Santoro
HB156,K. Upchurch
HB156,S. Westrom
HB156,J. York
HB157,NA
HB158,K. Moser
HB158,D. Bentley
HB158,R. Benvenuti III
HB158,J. Richards
HB158,S. Westrom
HB159,B. Rowland
HB159,J. Greer
HB159,A. Simpson
HB160,A. Koenig
HB160,J. Jenkins
HB160,J. Miller
HB160,R. Mills
HB160,B. Reed
HB160,S. Riggs
HB160,R. Rothenburger
HB161,DJ Johnson
HB161,D. Schamore
HB161,D. Johnson
HB161,T. Moore
HB161,R. Palumbo
HB161,M. Prunty
HB161,D. St. Onge
HB162,J. Carney
HB162,M. Hart
HB162,D. Horlander
HB162,K. King
HB162,A. Koenig
HB162,C. McCoy
HB162,R. Meyer
HB162,K. Moser
HB162,P. Pratt
HB162,M. Prunty
HB162,B. Reed
HB162,R. Rothenburger
HB162,S. Santoro
HB162,J. Tipton
HB163,B. Rowland
HB163,J. Greer
HB164,C. Morgan
HB165,J. DuPlessis
HB166,A. Koenig
HB166,A. Simpson
HB166,J. Richards
HB167,J. Miller
HB168,B. Rowland
HB168,R. Bunch
HB168,M. Castlen
HB168,J. DeCesare
HB168,M. Dossett
HB168,R. Heath
HB168,K. Imes
HB168,M. Meredith
HB168,S. Miles
HB168,T. Moore
HB168,J. Petrie
HB168,M. Prunty
HB168,J. Richards
HB168,S. Riley
HB168,W. Stone
HB168,W. Thomas
HB169,S. Lee
HB169,K. Bratcher
HB169,D. Hale
HB169,K. King
HB169,R. Palumbo
HB169,M. Prunty
HB169,J. Richards
HB169,S. Riggs
HB169,S. Santoro
HB169,R. Webber
HB169,S. Westrom
HB170,D. Owens
HB170,J. Jenkins
HB170,R. Adkins
HB170,T. Burch
HB170,M. Cantrell
HB170,W. Coursey
HB170,J. Donohue
HB170,K. Flood
HB170,A. Gentry
HB170,D. Graham
HB170,C. Harris
HB170,A. Hatton
HB170,J. Kay
HB170,D. Keene
HB170,M. Marzian
HB170,S. Overly
HB170,R. Palumbo
HB170,J. Richards
HB170,S. Riggs
HB170,D. Schamore
HB170,A. Scott
HB170,A. Simpson
HB170,W. Stone
HB170,J. Wayne
HB170,S. Westrom
HB171,S. Lee
HB171,K. Bratcher
HB171,D. Hale
HB171,M. Hart
HB171,K. King
HB171,S. Riggs
HB171,S. Riley
HB171,S. Santoro
HB171,R. Webber
HB171,S. Westrom
HB172,J. Greer
HB173,J. Miller
HB174,R. Heath
HB174,M. Castlen
HB174,J. DeCesare
HB174,M. Dossett
HB174,J. Gooch Jr.
HB174,D. Hale
HB174,M. Hart
HB174,K. King
HB174,S. Miles
HB174,R. Mills
HB174,J. Petrie
HB174,P. Pratt
HB174,M. Prunty
HB174,B. Rowland
HB174,S. Rudy
HB174,D. Schamore
HB174,W. Stone
HB174,W. Thomas
HB174,J. Tipton
HB174,T. Turner
HB175,J. Jenkins
HB176,K. Sinnette
HB176,R. Nelson
HB176,R. Rand
HB176,S. Westrom
HB177,J. DeCesare
HB178,S. Overly
HB178,D. Keene
HB178,R. Adkins
HB178,T. Burch
HB178,W. Coursey
HB178,J. Donohue
HB178,A. Gentry
HB178,M. Marzian
HB178,C. Miller
HB178,R. Palumbo
HB178,D. Schamore
HB178,A. Scott
HB178,W. Stone
HB178,J. Wayne
HB179,S. Overly
HB179,K. Flood
HB179,R. Adkins
HB179,T. Burch
HB179,W. Coursey
HB179,J. Donohue
HB179,A. Gentry
HB179,D. Keene
HB179,M. Marzian
HB179,R. Palumbo
HB179,D. Schamore
HB179,A. Scott
HB179,W. Stone
HB179,J. Wayne
HB179,S. Westrom
HB180,A. Wuchner
HB180,M. Prunty
HB180,D. Elliott
HB180,D. Graham
HB180,R. Meeks
HB180,S. Westrom
HB181,DJ Johnson
HB182,C. Harris
HB182,J. Blanton
HB183,A. Koenig
HB184,S. Miles
HB184,J. Petrie
HB184,M. Castlen
HB184,J. DeCesare
HB184,J. Gooch Jr.
HB184,DJ Johnson
HB184,M. Meredith
HB184,R. Mills
HB184,M. Prunty
HB184,B. Reed
HB184,J. Richards
HB184,B. Rowland
HB184,D. Schamore
HB185,R. Nelson
HB186,R. Nelson
HB186,J. Carney
HB187,R. Nelson
HB188,R. Nelson
HB189,J. DeCesare
HB189,S. Westrom
HB189,S. Santoro
HB189,A. Wuchner
HB190,S. Riggs
HB190,S. Westrom
HB191,B. Rowland
HB191,J. Greer
HB191,S. Riggs
HB192,L. Brown
HB192,S. Westrom
HB192,A. Wuchner
HB193,C. Harris
HB194,C. Harris
HB195,J. Tipton
HB195,M. Hart
HB195,C. Miller
HB195,T. Moore
HB195,W. Stone
HB196,S. Overly
HB196,R. Adkins
HB196,T. Burch
HB196,W. Coursey
HB196,J. Donohue
HB196,A. Gentry
HB196,D. Keene
HB196,M. Marzian
HB196,D. Schamore
HB196,A. Scott
HB196,W. Stone
HB196,J. Wayne
HB196,S. Westrom
HB197,S. Overly
HB197,S. Westrom
HB198,S. Overly
HB199,D. Schamore
HB199,A. Koenig
HB199,B. Rowland
HB200,D. Osborne
HB200,J. Greer
HB200,M. Hart
HB200,C. Morgan
HB200,R. Palumbo
HB201,M. Cantrell
HB201,T. Burch
HB201,J. Donohue
HB201,K. Flood
HB201,J. Jenkins
HB201,M. Marzian
HB201,S. Overly
HB201,R. Palumbo
HB201,A. Scott
HB201,J. Wayne
HB201,S. Westrom
HB202,NA
HB203,NA
HB204,J. Carney
HB204,J. Richards
HB205,J. Carney
HB205,R. Bunch
HB205,R. Palumbo
HB205,S. Westrom
NA,NA
HB206,J. Carney
HB207,C. McCoy
HB208,K. Imes
HB209,K. Imes
HB210,M. Cantrell
HB211,M. Cantrell
HB212,R. Heath
HB213,S. Santoro
HB213,K. Moser
HB214,B. Reed
HB214,P. Pratt
HB214,M. Hart
HB214,K. King
HB214,J. Tipton
HB215,B. Rowland
HB215,S. Riggs
HB216,B. Rowland
HB216,S. Miles
HB217,J. Richards
HB218,J. Richards
HB219,NA
HB220,NA
HB221,K. King
HB222,R. Benvenuti III
HB222,J. Greer
HB222,R. Mills
HB222,B. Reed
HB222,J. York
HB223,J. Fischer
HB224,J. Fischer
HB225,R. Webber
HB225,T. Moore
HB226,A. Wuchner
HB226,M. Prunty
HB227,M. Prunty
HB227,D. Elliott
HB227,D. Graham
HB227,C. McCoy
HB227,K. Moser
HB227,R. Palumbo
HB227,S. Riggs
HB227,D. St. Onge
HB227,S. Westrom
HB227,A. Wuchner
HB228,J. DeCesare
HB229,C. Morgan
HB230,C. Morgan
HB231,S. Riley
HB231,T. Moore
HB231,B. Rowland
HB232,T. Moore
HB232,S. Westrom
HB233,S. Wells
HB234,J. Gooch Jr.
HB234,J. Blanton
HB234,S. Miles
HB234,R. Mills
HB234,M. Prunty
HB235,D. Johnson
HB236,L. Bechler
HB236,T. Herald
HB236,D. Osborne
HB236,R. Palumbo
HB237,P. Pratt
HB237,D. Hale
HB237,M. Hart
HB237,K. King
HB237,M. Meredith
HB237,J. Nemes
HB237,B. Reed
HB237,J. Sims Jr
HB237,W. Thomas
HB237,J. Tipton
HB238,P. Pratt
HB238,M. Hart
HB238,G. Brown Jr
HB238,R. Palumbo
HB238,J. Richards
HB239,W. Thomas
HB239,A. Koenig
HB239,J. Donohue
HB239,M. Dossett
HB239,D. Elliott
HB239,D. Osborne
HB239,P. Pratt
HB239,M. Prunty
HB239,B. Reed
HB239,R. Rothenburger
HB239,S. Santoro
HB239,J. Sims Jr
HB239,S. Wells
HB240,A. Gentry
HB240,M. Cantrell
HB241,A. Gentry
HB241,A. Koenig
HB241,J. Nemes
HB241,J. Richards
HB241,S. Santoro
HB241,S. Westrom
HB242,J. DuPlessis
HB243,P. Moffett
HB244,J. Miller
HB245,J. Miller
HB246,J. Miller
HB246,S. Riggs
HB246,K. Bratcher
HB246,K. Fleming
HB246,P. Moffett
HB247,A. Wuchner
HB247,J. Richards
HB247,S. Westrom
HB248,K. Moser
HB248,A. Wuchner
HB249,T. Moore
HB250,K. Flood
HB250,S. Overly
HB251,J. Nemes
HB251,A. Wuchner
HB251,T. Burch
HB251,K. Flood
HB251,A. Gentry
HB251,D. Graham
HB251,M. Marzian
HB251,C. McCoy
HB251,K. Moser
HB251,D. Owens
HB251,M. Prunty
HB251,R. Rothenburger
HB251,A. Scott
HB251,A. Simpson
HB251,K. Sinnette
HB251,J. Wayne
HB251,S. Westrom
HB252,J. Blanton
HB252,K. Moser
HB252,L. Brown
HB252,R. Bunch
HB252,D. Hale
HB252,M. Hart
HB252,D. Horlander
HB252,R. Nelson
HB252,M. Prunty
HB252,B. Reed
HB252,A. Wuchner
HB253,J. Greer
HB253,C. Morgan
HB253,K. Moser
HB253,M. Prunty
HB254,D. Keene
HB254,D. Horlander
HB255,W. Stone
HB255,J. DeCesare
HB255,J. Richards
HB256,M. Dossett
HB256,T. Moore
HB257,J. DeCesare
HB258,J. Tipton
HB259,C. McCoy
HB260,J. Nemes
HB260,M. Cantrell
HB260,A. Hatton
HB260,R. Meyer
HB260,R. Palumbo
HB260,M. Prunty
HB260,J. Richards
HB260,J. Tipton
HB261,J. DuPlessis
HB261,B. Reed
HB261,J. Tipton
HB262,R. Webber
HB263,J. Wayne
HB263,T. Burch
HB263,M. Cantrell
HB263,J. Donohue
HB263,K. Flood
HB263,D. Graham
HB263,J. Jenkins
HB263,M. Marzian
HB263,R. Meeks
HB263,D. Owens
HB263,R. Palumbo
HB263,A. Scott
HB264,R. Rand
HB264,A. Gentry
HB264,R. Palumbo
HB264,J. Richards
HB265,W. Thomas
HB265,M. Castlen
HB265,M. Dossett
HB265,M. Hart
HB265,R. Heath
HB265,K. Imes
HB265,S. Miles
HB265,R. Mills
HB265,J. Petrie
HB265,P. Pratt
HB265,B. Reed
HB266,S. Overly
HB266,R. Adkins
HB266,T. Burch
HB266,M. Cantrell
HB266,W. Coursey
HB266,J. Donohue
HB266,A. Gentry
HB266,D. Keene
HB266,M. Marzian
HB266,R. Palumbo
HB266,J. Richards
HB266,D. Schamore
HB266,A. Scott
HB266,W. Stone
HB266,J. Wayne
HB266,S. Westrom
HB267,J. Kay
HB268,M. Hart
HB268,R. Rothenburger
HB268,R. Bunch
HB268,J. Greer
HB268,T. Moore
HB268,R. Palumbo
HB269,S. Riley
HB270,DJ Johnson
HB270,R. Mills
HB270,J. Tipton
HB270,K. Upchurch
HB271,R. Mills
HB271,A. Koenig
HB271,M. Meredith
HB271,J. Nemes
HB271,R. Palumbo
HB271,S. Santoro
HB271,S. Westrom
HB272,R. Mills
HB272,A. Koenig
HB273,R. Mills
HB273,S. Wells
HB274,P. Pratt
HB275,K. Sinnette
HB276,P. Moffett
HB277,B. Reed
HB278,J. Donohue
HB279,J. Tipton
HB279,J. Carney
HB279,M. Hart
HB280,J. Jenkins
HB280,A. Scott
HB281,J. Nemes
HB282,J. Petrie
HB283,J. Miller
HB284,M. Meredith
HB285,J. Wayne
HB286,J. Kay
HB286,R. Meyer
HB286,J. Nemes
HB287,J. Kay
HB287,R. Meyer
HB288,B. Linder
HB289,J. Blanton
HB290,D. Hale
HB291,R. Meeks
HB291,S. Santoro
HB292,J. Miller
HB292,A. Koenig
HB292,A. Simpson
HB293,R. Rothenburger
HB293,B. Reed
HB294,S. Miles
HB294,D. Hale
HB294,DJ Johnson
HB294,C. McCoy
HB295,R. Adkins
HB295,C. Miller
HB295,J. Richards
HB296,A. Koenig
HB296,B. Rowland
HB296,J. DeCesare
HB296,M. Dossett
HB296,P. Pratt
HB296,S. Wells
HB296,A. Wuchner
HB297,J. Blanton
HB297,L. Brown
HB297,D. Bentley
HB298,P. Moffett
HB299,M. Castlen
HB299,L. Brown
HB300,NA
HB301,D. Bentley
HB301,J. Greer
HB301,S. Santoro
HB302,J. Nemes
HB303,J. Kay
HB303,J. Jenkins
HB304,A. Wuchner
HB304,M. Marzian
HB304,K. Flood
HB304,M. Hart
HB304,K. Moser
HB304,R. Palumbo
HB304,M. Prunty
HB304,S. Westrom
HB305,K. Moser
HB305,D. Bentley
HB305,J. Blanton
HB305,M. Castlen
HB305,D. Elliott
HB305,C. Fugate
HB305,M. Hart
HB305,D. Horlander
HB305,R. Palumbo
HB305,A. Simpson
HB305,S. Westrom
HB305,A. Wuchner
NA,NA
HB306,M. Meredith
HB306,B. Reed
HB306,L. Bechler
HB306,D. Hale
HB306,T. Moore
HB306,P. Pratt
HB306,J. Richards
HB306,B. Rowland
HB306,J. Tipton
HB307,A. Wuchner
HB307,J. Carney
HB307,M. Prunty
HB308,A. Wuchner
HB308,K. Moser
HB308,M. Prunty
HB309,M. Prunty
HB309,A. Wuchner
HB309,R. Bunch
HB309,M. Cantrell
HB309,A. Hatton
HB309,J. Jenkins
HB309,C. Morgan
HB309,A. Scott
HB309,S. Westrom
HB309,J. York
HB310,J. Jenkins
HB310,A. Koenig
HB310,J. Donohue
HB310,J. Miller
HB310,P. Moffett
HB310,J. Richards
HB310,S. Riggs
HB311,T. Moore
HB311,J. Blanton
HB311,D. Johnson
HB311,M. Prunty
HB311,W. Thomas
HB311,J. Tipton
HB312,S. Riley
HB312,D. Mayfield
HB313,D. Osborne
HB313,K. Imes
HB313,S. Santoro
HB314,D. Bentley
HB314,A. Wuchner
HB314,K. Moser
HB315,J. Blanton
HB315,S. Lee
HB315,R. Mills
HB315,C. Morgan
HB315,R. Palumbo
HB315,B. Reed
HB315,S. Westrom
HB316,C. Morgan
HB316,S. Wells
HB317,S. Miles
HB317,J. York
HB318,M. Meredith
HB319,K. Imes
HB319,D. Osborne
HB319,S. Santoro
HB320,D. Owens
HB320,M. Dossett
HB321,D. Owens
HB321,M. Dossett
HB321,R. Meeks
HB322,J. Jenkins
HB323,B. Reed
HB323,J. Greer
HB323,C. Morgan
HB323,R. Nelson
HB323,M. Prunty
HB323,S. Santoro
HB323,A. Wuchner
HB324,S. Wells
HB325,S. Wells
HB326,S. Wells
HB327,M. Marzian
HB327,T. Burch
HB327,M. Cantrell
HB327,K. Flood
HB327,D. Graham
HB327,J. Jenkins
HB327,D. Owens
HB327,R. Palumbo
HB327,A. Simpson
HB327,J. Wayne
HB328,D. Owens
HB329,J. Fischer
HB330,D. Osborne
HB330,J. Hoover
HB330,J. Jenkins
HB331,M. Marzian
HB332,A. Wuchner
HB332,J. Fischer
HB332,K. Imes
HB332,A. Koenig
HB332,S. Wells
HB333,K. Moser
HB333,J. Fischer
HB333,D. Elliott
HB333,D. Graham
HB333,C. Morgan
HB333,R. Palumbo
HB333,J. Richards
HB333,S. Santoro
HB333,J. Wayne
HB333,S. Westrom
HB333,A. Wuchner
HB334,S. Santoro
HB335,M. Marzian
HB335,R. Palumbo
HB336,B. Rowland
HB337,S. Rudy
HB338,M. Marzian
HB338,R. Meeks
HB339,J. Nemes
HB340,J. Kay
HB341,J. Kay
HB341,J. Richards
HB342,J. Wayne
HB342,M. Marzian
HB343,L. Brown
HB344,C. Harris
HB345,C. Harris
HB346,C. Harris
HB347,C. Harris
HB348,C. Harris
HB349,J. Richards
HB350,R. Bunch
HB350,M. Meredith
HB350,DJ Johnson
HB350,C. Morgan
HB351,J. Miller
HB352,G. Watkins
HB352,J. Richards
HB353,P. Moffett
HB354,B. Linder
HB355,A. Koenig
HB355,J. Kay
HB356,R. Meeks
HB356,J. Richards
HB357,D. Keene
HB358,L. Bechler
HB358,D. Hale
HB358,K. King
HB358,C. Morgan
HB359,L. Bechler
HB360,S. Miles
HB360,J. DeCesare
HB360,M. Hart
HB361,D. Keene
HB361,J. Richards
HB362,DJ Johnson
HB363,S. Miles
HB364,D. Bentley
HB364,S. Santoro
HB365,J. Greer
HB365,C. McCoy
HB365,J. Richards
HB366,DJ Johnson
HB367,R. Palumbo
HB367,J. Carney
HB367,J. DeCesare
HB368,D. St. Onge
HB368,A. Simpson
HB369,NA
HB370,L. Bechler
HB370,P. Moffett
HB370,T. Herald
HB370,C. Morgan
HB370,S. Wells
HB371,J. Jenkins
HB372,D. Hale
HB373,J. Miller
HB374,R. Benvenuti III
HB374,C. Morgan
HB374,M. Prunty
HB375,W. Thomas
